area,city,country,gps_lat,gps_long,lat,long,state,state_flag
Lewis and Clark County,Lincoln,US,47.22,-112.29,46.95494,-112.68171,Montana,Montana
Yavapai County,Congress,US,34.25,-112.76,34.16253,-112.85074,Arizona,Arizona
Phillips County,Malta,US,48.83,-107.75,48.35972,-107.87428,Montana,Montana
Delaware County,Sidney,US,42.29,-75.42,42.3148,-75.39157,New York,New York
Los Angeles County,Avalon,US,30.85,-119.64,33.34281,-118.32785,California,California
Washington County,Waterbury,US,44.41,-72.77,44.33783,-72.75623,Vermont,Vermont
Garfield County,Burwell,US,41.55,-99.21,41.78167,-99.13315,Nebraska,Nebraska
,Claresholm,CA,49.88,-113.5,50.03332,-113.58523999999998,Alberta,None
Grant County,Canyon City,US,44.23,-119.12,44.3896,-118.95023,Oregon,Oregon
Hot Springs County,Thermopolis,US,44.06,-108.48,43.64607,-108.21204,Wyoming,Wyoming
Cherokee County,Galena,US,37.06,-94.6,37.0759,-94.63967,Kansas,Kansas
Empalme,La Palma,MX,28.01,-110.59,28.05028,-110.70111,Sonora,None
York County,Spring Grove,US,39.92,-76.89,39.87454,-76.86581,Pennsylvania,Pennsylvania
Parry Sound District,Parry Sound,CA,45.31,-80.31,45.34732,-80.03527,Ontario,None
San Fernando,El Barrancon del Tio Blas (El Barrancon),MX,25.01,-97.93,25.01556,-97.71694,Tamaulipas,None
Park County,Cody,US,43.86,-108.91,44.52634000000001,-109.05653,Wyoming,Wyoming
,Picton,CA,43.85,-76.95,44.00012,-77.13275,Ontario,None
Sonoma County,Eldridge,US,38.33,-122.55,38.3488,-122.51081,California,California
Bottineau County,Bottineau,US,48.71,-100.9,48.82723,-100.4457,North Dakota,North Dakota
Cote-Nord,Forestville,CA,49.2,-69.26,48.73808,-69.08478000000001,Quebec,None
Nord-du-Quebec,Chapais,CA,48.98,-74.5,49.78344,-74.84919000000002,Quebec,None
Jefferson Parish,Grand Isle,US,25.68,-89.59,29.23662,-89.98729,Louisiana,Louisiana
,Little Current,CA,46.07,-82.21,45.97927,-81.9248,Ontario,None
,Mulege,MX,26.57,-112.23,26.89141,-111.9826,Baja California Sur,None
,Greater Sudbury,CA,46.32,-80.91,46.49,-80.99001,Ontario,None
Tolland County,Tolland,US,41.87,-72.35,41.87149,-72.36869,Connecticut,Connecticut
,Hamilton,BM,33.29,-66.08,32.2949,-64.78303000000001,Hamilton city,None
,Cockburn Town,BS,28.34,-72.52,24.05179,-74.53138,San Salvador,None
Socorro County,Alamo,US,34.57,-107.24,34.42089,-107.51088,New Mexico,New Mexico
Dare County,Buxton,US,36.0,-70.77,35.26768,-75.54236999999998,North Carolina,North Carolina
Fremont County,Ashton,US,44.44,-111.74,44.07158,-111.44829,Idaho,Idaho
McKinley County,Church Rock,US,35.6,-108.66,35.53391,-108.5998,New Mexico,New Mexico
,Buenaventura,MX,29.74,-107.32,29.8432,-107.46067,Chihuahua,None
,Sparwood,CA,49.58,-114.54,49.73332,-114.88532,British Columbia,None
Pueblo County,Pueblo,US,37.93,-104.38,38.25445,-104.60914,Colorado,Colorado
Modoc County,Alturas,US,41.52,-120.58,41.48711,-120.54246,California,California
Carbon County,Rawlins,US,42.7,-107.31,41.79107,-107.23866,Wyoming,Wyoming
Sonoma County,Bodega Bay,US,38.08,-123.4,38.33325,-123.04806,California,California
Galveston County,Galveston,US,29.03,-94.52,29.30135,-94.7977,Texas,Texas
Unicoi County,Banner Hill,US,36.09,-82.39,36.13066,-82.42458,Tennessee,Tennessee
San Mateo County,Half Moon Bay,US,37.13,-122.51,37.46355,-122.42859,California,California
Suffolk County,Montauk,US,37.59,-70.85,41.03594,-71.95451,New York,New York
Keweenaw County,Eagle River,US,48.0,-88.25,47.41381,-88.29566,Michigan,Michigan
Santa Barbara County,Lompoc,US,30.03,-122.49,34.63915,-120.45794,California,California
Charleston County,Folly Beach,US,31.94,-79.73,32.65518,-79.94037,South Carolina,South Carolina
Carbon County,Rawlins,US,41.76,-107.54,41.79107,-107.23866,Wyoming,Wyoming
,La Reforma,MX,24.91,-108.08,25.08164,-108.05673,Sinaloa,None
Lincoln County,Alamo,US,36.98,-114.99,37.36496,-115.16446,Nevada,Nevada
,Melita,CA,48.96,-101.12,49.26811,-100.99669,Manitoba,None
Otero County,Boles Acres,US,32.63,-106.02,32.80703,-105.9861,New Mexico,New Mexico
Perry County,Uniontown,US,32.18,-87.49,32.44958,-87.51417,Alabama,Alabama
White Pine County,McGill,US,39.7,-114.12,39.40494,-114.77863,Nevada,Nevada
Riverside County,Sun City,US,33.65,-117.16,33.70919,-117.19726,California,California
,Santa Rosalia,MX,27.22,-112.12,27.34045,-112.26761,Baja California Sur,None
Dare County,Buxton,US,34.36,-73.67,35.26768,-75.54236999999998,North Carolina,North Carolina
Louisa County,Columbus Junction,US,41.29,-91.5,41.28003,-91.36071,Iowa,Iowa
Clayton County,Bonanza,US,33.46,-84.32,33.46567,-84.33659,Georgia,Georgia
Luna County,Deming,US,32.28,-107.42,32.2687,-107.75864,New Mexico,New Mexico
Franklin County,Apalachicola,US,29.06,-84.93,29.72577,-84.98324000000002,Florida,Florida
,Cockburn Town,BS,25.97,-73.19,24.05179,-74.53138,San Salvador,None
Charleston County,Ravenel,US,32.88,-80.25,32.76323,-80.2501,South Carolina,South Carolina
Lamadrid,Lamadrid,MX,26.56,-102.3,27.04944,-101.79389,Coahuila,None
Sonoma County,Sea Ranch,US,38.71,-123.76,38.71519,-123.45445,California,California
Adams County,Hastings,US,40.6,-98.45,40.58612,-98.38839,Nebraska,Nebraska
Calhoun County,Port O'Connor,US,28.13,-96.51,28.44834,-96.40581,Texas,Texas
Glacier County,South Browning,US,48.4,-113.02,48.54608,-113.01425,Montana,Montana
Ocean County,Surf City,US,39.6,-74.02,39.66206,-74.16514000000002,New Jersey,New Jersey
Calhoun County,Port Lavaca,US,28.69,-96.54,28.615,-96.62609,Texas,Texas
Pennington County,Rapid Valley,US,43.73,-103.07,44.06249,-103.14629,South Dakota,South Dakota
Morgan County,Martinsville,US,39.35,-86.38,39.42783,-86.42833,Indiana,Indiana
Terrell County,Sanderson,US,30.44,-102.17,30.14241,-102.39403,Texas,Texas
,Peachland,CA,49.91,-119.79,49.76647,-119.73568,British Columbia,None
Androscoggin County,Livermore,US,44.43,-70.24,44.38396,-70.24922,Maine,Maine
Sweetwater County,North Rock Springs,US,42.23,-109.22,41.64358,-109.26568,Wyoming,Wyoming
Mecklenburg County,Chase City,US,36.85,-78.65,36.79931,-78.45833,Virginia,Virginia
,Greater Sudbury,CA,46.26,-80.34,46.49,-80.99001,Ontario,None
Mercer County,Jackson,US,37.8,-85.03,37.82508,-84.87079,Kentucky,Kentucky
Jefferson Parish,Grand Isle,US,26.67,-88.79,29.23662,-89.98729,Louisiana,Louisiana
Randolph County,Elkins,US,38.71,-79.66,38.92594,-79.84673000000002,West Virginia,West Virginia
Golden Valley County,Ryegate,US,46.06,-109.46,46.29718,-109.25879,Montana,Montana
Jefferson County,Fairfield,US,40.9,-92.0,41.00863,-91.96267,Iowa,Iowa
Abitibi-Temiscamingue,Val-d'Or,CA,48.08,-77.89,48.10018,-77.7828,Quebec,None
Butler County,Clarksville,US,42.77,-92.62,42.7847,-92.66769,Iowa,Iowa
,Hamilton,BM,28.52,-68.59,32.2949,-64.78303000000001,Hamilton city,None
Indiana County,Homer City,US,40.46,-79.06,40.5434,-79.16226,Pennsylvania,Pennsylvania
,Nueva Ciudad Guerrero,MX,26.41,-99.44,26.56219,-99.22863,Tamaulipas,None
Alcorn County,Corinth,US,35.05,-88.54,34.93425,-88.52226999999998,Mississippi,Mississippi
Wood County,Bowling Green,US,41.38,-83.63,41.37477,-83.65132,Ohio,Ohio
Patrick County,Stuart,US,36.68,-80.45,36.64097,-80.26561,Virginia,Virginia
Clark County,Laughlin,US,35.15,-114.72,35.16778,-114.57302,Nevada,Nevada
Marquette County,Marquette,US,47.15,-86.97,46.54354,-87.39542,Michigan,Michigan
Nantucket County,Nantucket,US,39.01,-68.14,41.28346,-70.09946,Massachusetts,Massachusetts
Mono County,Mammoth Lakes,US,37.36,-118.8,37.64855,-118.97208,California,California
,Hearst,CA,50.69,-83.54,49.68351,-83.66654,Ontario,None
Iredell County,Troutman,US,35.73,-80.91,35.70069,-80.88813,North Carolina,North Carolina
Kern County,Golden Hills,US,35.17,-118.47,35.14247,-118.49036,California,California
Lancaster County,Lancaster,US,37.81,-76.61,37.76986,-76.46634,Virginia,Virginia
Sevier County,De Queen,US,34.01,-94.19,34.037890000000004,-94.34132,Arkansas,Arkansas
Suffolk County,Montauk,US,39.19,-71.14,41.03594,-71.95451,New York,New York
Suffolk County,Montauk,US,40.39,-71.76,41.03594,-71.95451,New York,New York
Nord-du-Quebec,Matagami,CA,50.14,-78.75,49.75018,-77.63277,Quebec,None
Ocean County,Leisure Village,US,40.04,-74.22,40.04262,-74.18486,New Jersey,New Jersey
Baltimore County,Bowleys Quarters,US,39.25,-76.33,39.33539,-76.39024,Maryland,Maryland
Pershing County,Lovelock,US,40.53,-118.68,40.17935,-118.47348,Nevada,Nevada
Cache County,Richmond,US,42.03,-111.7,41.92271,-111.81356,Utah,Utah
Lyon County,Smith Valley,US,38.65,-119.26,38.78421,-119.34425,Nevada,Nevada
Ensenada,Luis Rodriguez (El Vergel),MX,28.03,-120.16,30.40722,-115.88722,Baja California,None
Calhoun County,Piedmont,US,33.84,-85.48,33.92455,-85.61135,Alabama,Alabama
Cameron Parish,Cameron,US,28.14,-92.94,29.79772,-93.32515,Louisiana,Louisiana
,Greenstone,CA,49.52,-87.98,49.73343,-87.16668,Ontario,None
Nash County,Red Oak,US,36.25,-77.93,36.03849,-77.90637,North Carolina,North Carolina
Chase County,Cottonwood Falls,US,38.13,-96.72,38.37224000000001,-96.54278,Kansas,Kansas
Merced County,Dos Palos,US,37.03,-120.57,36.98606,-120.62657,California,California
Dare County,Buxton,US,34.68,-74.98,35.26768,-75.54236999999998,North Carolina,North Carolina
Wetzel County,New Martinsville,US,39.67,-80.77,39.64452,-80.8576,West Virginia,West Virginia
,Cockburn Town,TC,25.17,-66.04,21.46122,-71.14188,,None
Baldwin County,Gulf Shores,US,28.96,-87.57,30.24604,-87.70082,Alabama,Alabama
Forrest County,Petal,US,31.32,-89.25,31.346559999999997,-89.26006,Mississippi,Mississippi
Rainy River District,Atikokan,CA,50.64,-90.37,48.75667,-91.62409,Ontario,None
,Grand Forks,CA,49.57,-118.38,49.03309,-118.4356,British Columbia,None
Whatcom County,Birch Bay,US,48.81,-122.79,48.91789,-122.74462,Washington,Washington
Pecos County,Iraan,US,30.93,-102.12,30.91405,-101.89791,Texas,Texas
,Cockburn Town,BS,24.28,-72.6,24.05179,-74.53138,San Salvador,None
Nantucket County,Nantucket,US,40.38,-66.89,41.28346,-70.09946,Massachusetts,Massachusetts
Warren County,Warrensburg,US,43.82,-74.02,43.49674,-73.77623,New York,New York
Loreto,Loreto,MX,25.42,-110.98,26.01217,-111.34888000000001,Baja California Sur,None
,Alice Town,BS,25.56,-79.49,25.71667,-79.3,Bimini,None
Fentress County,Jamestown,US,36.37,-84.78,36.42757,-84.93189,Tennessee,Tennessee
San Ignacio Rio Muerto,Bahia de Lobos,MX,26.98,-110.64,27.351670000000002,-110.45472,Sonora,None
Cheboygan County,Cheboygan,US,45.45,-84.26,45.64696,-84.47448,Michigan,Michigan
Sequoyah County,Roland,US,35.57,-94.58,35.4212,-94.51465999999999,Oklahoma,Oklahoma
,Estevan,CA,48.83,-102.68,49.13337,-102.98422,Saskatchewan,None
Hidalgo County,Edinburg,US,26.28,-98.2,26.301740000000002,-98.16334,Texas,Texas
Kern County,Weldon,US,35.44,-118.25,35.66579,-118.29036,California,California
,Hamilton,BM,29.71,-68.3,32.2949,-64.78303000000001,Hamilton city,None
Traill County,Mayville,US,47.25,-97.56,47.49804,-97.32454,North Dakota,North Dakota
Mulege,Bahia Asuncion,MX,26.94,-114.87,27.14231,-114.29581999999999,Baja California Sur,None
Fresno County,San Joaquin,US,36.41,-120.18,36.60662,-120.18903999999999,California,California
Santa Barbara County,Isla Vista,US,30.17,-121.71,34.41333,-119.86097,California,California
,Parras de la Fuente,MX,25.73,-102.53,25.44156,-102.1792,Coahuila,None
Jefferson County,Port Arthur,US,29.85,-94.06,29.88519,-93.94233,Texas,Texas
Wetzel County,New Martinsville,US,39.65,-80.61,39.64452,-80.8576,West Virginia,West Virginia
Logan County,Sterling,US,40.67,-103.06,40.62554,-103.20770999999999,Colorado,Colorado
La Paz County,Salome,US,33.17,-113.52,33.78114,-113.61465,Arizona,Arizona
Dare County,Buxton,US,32.1,-71.54,35.26768,-75.54236999999998,North Carolina,North Carolina
Gulf County,Port Saint Joe,US,26.62,-86.74,29.81188,-85.30297,Florida,Florida
Pennington County,Thief River Falls,US,48.6,-96.19,48.11914,-96.18115,Minnesota,Minnesota
Walworth County,Mobridge,US,45.42,-100.6,45.53722,-100.42791,South Dakota,South Dakota
Garfield County,Jordan,US,46.96,-107.31,47.32083,-106.91006999999999,Montana,Montana
Glenn County,Willows,US,39.43,-122.36,39.52433,-122.19358999999999,California,California
,Cockburn Town,BS,28.18,-71.41,24.05179,-74.53138,San Salvador,None
Logan County,Lincoln,US,40.09,-89.49,40.148379999999996,-89.36482,Illinois,Illinois
,Hamilton,BM,33.69,-68.4,32.2949,-64.78303000000001,Hamilton city,None
Nazas,Nazas,MX,25.59,-104.37,25.2275,-104.11389,Durango,None
Bingham County,Shelley,US,43.11,-112.04,43.3813,-112.12331,Idaho,Idaho
,Marathon,CA,48.13,-87.14,48.7501,-86.43321999999998,Ontario,None
Grant County,Ulysses,US,37.46,-101.21,37.58141,-101.35517,Kansas,Kansas
Kern County,China Lake Acres,US,35.56,-117.75,35.64051,-117.76395,California,California
,Marathon,CA,48.56,-87.07,48.7501,-86.43321999999998,Ontario,None
,Abraham's Bay,BS,24.23,-71.03,22.36667000000001,-72.96667,Mayaguana,None
Playas de Rosarito,Santa Anita,MX,29.95,-119.4,32.10083,-116.86917,Baja California,None
Deschutes County,Terrebonne,US,44.4,-121.32,44.3529,-121.17781000000001,Oregon,Oregon
,Kapuskasing,CA,48.72,-82.92,49.416940000000004,-82.43308,Ontario,None
George County,Lucedale,US,30.87,-88.39,30.92519,-88.59002,Mississippi,Mississippi
Galveston County,Bolivar Peninsula,US,29.17,-94.27,29.47829,-94.57991,Texas,Texas
Nord-du-Quebec,Chibougamau,CA,50.97,-74.07,49.91684,-74.36586,Quebec,None
Nantucket County,Nantucket,US,38.92,-66.1,41.28346,-70.09946,Massachusetts,Massachusetts
Ellis County,Victoria,US,38.69,-99.1,38.85279,-99.1476,Kansas,Kansas
Teton County,Hoback,US,42.95,-110.54,43.28187,-110.78381,Wyoming,Wyoming
Madison County,Sugar City,US,43.86,-111.75,43.87297,-111.7483,Idaho,Idaho
,Fredericton,CA,45.77,-66.88,45.945409999999995,-66.66558,New Brunswick,None
Nantucket County,Nantucket,US,38.92,-66.25,41.28346,-70.09946,Massachusetts,Massachusetts
Los Angeles County,Malibu,US,34.05,-118.89,34.00501,-118.81008999999999,California,California
Meagher County,White Sulphur Springs,US,46.63,-110.98,46.54828,-110.90216000000001,Montana,Montana
Ensenada,Luis Rodriguez (El Vergel),MX,28.35,-120.19,30.407220000000002,-115.88722,Baja California,None
,Greenstone,CA,50.83,-88.09,49.73343,-87.16668,Ontario,None
Logan County,Crescent,US,36.02,-97.64,35.95254,-97.59477,Oklahoma,Oklahoma
Monroe County,Key West,US,25.08,-82.82,24.5557,-81.78259,Florida,Florida
Mobile County,Dauphin Island,US,29.63,-88.12,30.25548,-88.10972,Alabama,Alabama
Wise County,Decatur,US,33.19,-97.59,33.23428,-97.58614,Texas,Texas
De Baca County,Fort Sumner,US,34.11,-104.18,34.47173,-104.24553,New Mexico,New Mexico
Abitibi-Temiscamingue,Temiscaming,CA,46.95,-78.48,46.72122,-79.09711999999998,Quebec,None
Tom Green County,San Angelo,US,31.57,-100.29,31.46377,-100.43704,Texas,Texas
Lake of the Woods County,Baudette,US,48.71,-94.04,48.71247,-94.59993,Minnesota,Minnesota
McPherson County,Moundridge,US,38.2,-97.49,38.203070000000004,-97.51921,Kansas,Kansas
Washoe County,Sparks,US,39.51,-119.58,39.534909999999996,-119.75268999999999,Nevada,Nevada
Greene County,Fair Grove,US,37.42,-93.17,37.38393,-93.1513,Missouri,Missouri
Williamsburg County,Kingstree,US,33.75,-79.91,33.66766,-79.83063,South Carolina,South Carolina
Ventura County,Port Hueneme,US,32.97,-119.63,34.14778,-119.19511000000001,California,California
Garfield County,Jordan,US,47.05,-107.08,47.32083,-106.91006999999999,Montana,Montana
Keweenaw County,Eagle River,US,47.09,-87.81,47.41381,-88.29566,Michigan,Michigan
Ensenada,Luis Rodriguez (El Vergel),MX,27.03,-122.17,30.407220000000002,-115.88722,Baja California,None
Deschutes County,La Pine,US,43.59,-121.88,43.6704,-121.50363999999999,Oregon,Oregon
Liberty County,Bristol,US,30.15,-84.88,30.432470000000002,-84.97702,Florida,Florida
Comondu,Villa Morelos,MX,25.09,-111.08,24.93,-111.62806,Baja California Sur,None
Mineral County,Hawthorne,US,38.39,-118.47,38.52464000000001,-118.62458000000001,Nevada,Nevada
Big Horn County,Lovell,US,45.25,-108.49,44.83745,-108.38956,Wyoming,Wyoming
King County,North Bend,US,47.64,-121.69,47.49566,-121.78678000000001,Washington,Washington
San Diego County,Ramona,US,33.18,-116.77,33.041709999999995,-116.86808,California,California
Niagara County,Middleport,US,43.19,-78.44,43.212559999999996,-78.47641,New York,New York
Monroe County,Key West,US,24.85,-82.73,24.5557,-81.78259,Florida,Florida
Hamilton County,Syracuse,US,37.81,-101.99,37.98057,-101.75267,Kansas,Kansas
Carbon County,Rawlins,US,41.35,-107.76,41.79107,-107.23866000000001,Wyoming,Wyoming
Mulege,Bahia Asuncion,MX,24.61,-118.78,27.14231,-114.29581999999999,Baja California Sur,None
Sagadahoc County,Phippsburg,US,43.39,-69.79,43.820640000000004,-69.81477,Maine,Maine
Aiken County,New Ellenton,US,33.32,-81.68,33.42153,-81.68567,South Carolina,South Carolina
Saint Louis County,Eveleth,US,47.17,-92.47,47.46243,-92.53990999999999,Minnesota,Minnesota
Capitale-Nationale,Shannon,CA,47.02,-71.53,46.88026,-71.51464,Quebec,None
,Steinbach,CA,49.48,-96.75,49.52579,-96.68451,Manitoba,None
Dawson County,Cozad,US,40.9,-99.87,40.85973,-99.98734,Nebraska,Nebraska
Douglas County,Canyonville,US,42.72,-123.32,42.92734,-123.28116999999999,Oregon,Oregon
Burleigh County,Bismarck,US,46.69,-100.8,46.80833,-100.78374000000001,North Dakota,North Dakota
Colfax County,Raton,US,36.88,-104.68,36.90336,-104.43915,New Mexico,New Mexico
St. Lawrence County,Gouverneur,US,44.15,-75.19,44.336729999999996,-75.46299,New York,New York
,Marsh Harbour,BS,29.93,-74.62,26.541240000000002,-77.0636,Central Abaco,None
Clay County,Henrietta,US,33.92,-98.31,33.81732,-98.19532,Texas,Texas
Cochise County,Douglas,US,31.53,-109.33,31.34473,-109.54678,Arizona,Arizona
Mulege,Bahia Asuncion,MX,25.42,-116.56,27.14231,-114.29581999999999,Baja California Sur,None
Sarasota County,South Venice,US,26.55,-83.21,27.053109999999997,-82.42426,Florida,Florida
Rowan County,Rockwell,US,35.55,-80.35,35.55125,-80.40645,North Carolina,North Carolina
,Ciudad Insurgentes,MX,25.05,-112.14,25.26318,-111.77547,Baja California Sur,None
Keweenaw County,Eagle River,US,47.73,-88.8,47.41381,-88.29566,Michigan,Michigan
Pike County,Zebulon,US,33.08,-84.43,33.10235,-84.3427,Georgia,Georgia
,Maple Creek,CA,49.92,-109.13,49.916779999999996,-109.48481000000001,Saskatchewan,None
Ensenada,Luis Rodriguez (El Vergel),MX,27.44,-118.72,30.407220000000002,-115.88722,Baja California,None
Nazas,Nazas,MX,25.64,-104.36,25.2275,-104.11389,Durango,None
La Paz,La Paz,MX,24.19,-109.85,24.13811,-110.30973,Baja California Sur,None
Navajo County,Pinetop-Lakeside,US,34.26,-109.79,34.142540000000004,-109.96038,Arizona,Arizona
Brown County,New Ulm,US,44.39,-94.33,44.312459999999994,-94.46053,Minnesota,Minnesota
Dare County,Buxton,US,35.68,-73.99,35.26768,-75.54236999999998,North Carolina,North Carolina
