Lat,Long,State
-13.03,120.08,None
-23.59,120.19,Western Australia
-31.87,130.0,None
-9.16,118.6,None
-33.48,151.33,New South Wales
-42.82,139.99,None
-42.13,127.0,None
-20.02,152.5,None
-26.54,149.33,Queensland
-22.89,114.02,Western Australia
-28.38,119.99,Western Australia
-33.62,149.03,New South Wales
-26.68,143.89,Queensland
-20.5,147.0,Queensland
-31.59,138.83,South Australia
-26.45,138.76,South Australia
-26.07,149.78,Queensland
-37.86,120.14,None
-16.17,147.09,None
-11.55,147.37,None
-15.05,126.64,Western Australia
-19.14,129.36,Northern Territory
-14.71,116.55,None
-14.68,130.96,Northern Territory
-11.09,135.59,None
-30.82,117.09,Western Australia
-22.24,121.94,Western Australia
-40.63,153.83,None
-15.93,131.68,Northern Territory
-30.85,144.14,New South Wales
-13.11,122.76,None
-31.85,142.43,New South Wales
-29.33,119.56,Western Australia
-9.32,117.17,None
-35.68,120.16,None
-27.4,147.75,Queensland
-23.68,140.55,Queensland
-19.07,143.95,Queensland
-30.59,130.56,South Australia
-22.38,140.22,Queensland
-10.74,153.67,None
-41.61,137.19,None
-37.68,148.68,Victoria
-18.36,135.2,Northern Territory
-12.55,128.02,None
-34.5,138.2,South Australia
-33.24,134.67,South Australia
-26.37,122.68,Western Australia
-40.37,127.61,None
-24.28,120.84,Western Australia
-19.08,128.59,Western Australia
-9.68,146.99,None
-26.55,136.41,South Australia
-11.25,136.98,None
-9.62,117.78,None
-38.25,133.76,None
-32.4,143.86,New South Wales
-34.91,129.26,None
-13.68,123.11,None
-17.61,123.19,Western Australia
-19.66,135.1,Northern Territory
-24.1,152.67,None
-9.44,137.64,None
-37.3,129.95,None
-9.48,140.0,None
-32.41,138.92,South Australia
-29.95,149.55,New South Wales
-39.75,150.85,None
-30.83,134.75,South Australia
-29.86,143.0,New South Wales
-34.19,137.9,South Australia
-25.74,137.77,Northern Territory
-25.5,144.47,Queensland
-28.4,144.64,Queensland
-28.2,131.42,South Australia
-23.06,117.22,Western Australia
-23.55,137.46,Northern Territory
-40.65,122.14,None
-10.76,153.55,None
-36.46,123.48,None
-31.97,140.43,South Australia
-40.09,115.75,None
-31.61,122.73,Western Australia
-32.0,133.02,South Australia
-29.15,133.31,South Australia
-40.61,127.92,None
-24.39,142.81,Queensland
-36.19,143.66,Victoria
-26.08,151.34,None
-22.82,133.52,Northern Territory
-11.28,143.19,None
-22.03,126.7,Western Australia
-40.61,117.85,None
-42.1,140.15,None
-10.85,125.52,None
-31.63,126.84,Western Australia
-27.07,126.37,Western Australia
-17.23,145.28,Queensland
-26.64,147.21,Queensland
-14.4,117.77,None
-13.38,152.82,None
-13.13,150.38,None
-19.01,130.96,Northern Territory
-42.78,125.22,None
-28.59,135.08,South Australia
-19.82,123.26,Western Australia
-31.83,113.66,None
-21.84,130.73,Northern Territory
-32.79,133.5,None
-31.46,149.21,New South Wales
-27.0,132.83,South Australia
-17.92,140.65,Queensland
-20.26,143.64,Queensland
-28.55,132.0,South Australia
-15.66,138.67,None
-20.11,125.41,Western Australia
-32.18,117.97,Western Australia
-23.24,122.49,Western Australia
-10.46,123.99,None
-11.22,152.54,None
-42.0,148.21,Tasmania
-17.64,116.97,None
-19.1,127.0,Western Australia
-39.62,139.35,None
-18.11,113.62,None
-18.3,137.45,Northern Territory
-42.69,152.58,None
-18.67,118.58,None
-18.31,122.62,Western Australia
-40.89,146.83,None
-14.39,128.32,None
-13.66,114.61,None
-14.92,150.86,None
-22.56,149.0,Queensland
-9.03,131.1,None
-10.92,150.67,None
-40.32,129.26,None
-37.76,124.2,None
-19.64,148.73,None
-31.15,131.72,South Australia
-19.72,123.61,Western Australia
-24.59,132.54,Northern Territory
-41.11,141.42,None
-14.02,126.38,None
-12.01,119.94,None
-30.28,135.67,South Australia
-29.82,130.53,South Australia
-22.13,126.68,Western Australia
-9.61,118.29,None
-42.49,153.47,None
-33.66,137.69,South Australia
-40.08,153.48,None
-29.21,131.19,South Australia
-28.45,113.81,None
-20.18,127.03,Western Australia
-13.43,149.82,None
-15.6,127.73,Western Australia
-23.31,151.49,None
-15.3,140.55,None
-18.01,120.02,None
-30.44,148.7,New South Wales
-41.16,124.35,None
-18.17,137.22,Northern Territory
-14.41,123.54,None
-17.01,140.61,None
-21.82,115.13,Western Australia
-34.76,122.46,None
-19.36,149.53,None
-9.06,152.37,None
-10.49,131.62,None
-36.97,120.12,None
-32.41,143.72,New South Wales
-9.67,138.61,None
-24.3,124.7,Western Australia
-29.68,140.77,South Australia
-39.19,149.27,None
-13.73,129.4,None
-38.44,136.4,None
-25.75,118.68,Western Australia
-28.37,114.63,Western Australia
-10.74,124.75,None
-22.21,113.07,None
-42.34,128.75,None
-35.28,115.61,None
-10.76,139.4,None
-40.65,118.61,None
-18.56,142.95,Queensland
-9.22,119.75,None
-41.66,144.78,None
-42.9,152.63,None
-20.92,127.39,Western Australia
-32.41,145.19,New South Wales
-15.09,130.54,Northern Territory
-22.82,146.11,Queensland
-19.43,117.26,None
-27.31,143.35,Queensland
-23.11,126.13,Western Australia
-13.06,145.09,None
-19.3,120.0,None
-25.57,152.82,Queensland
-14.34,115.74,None
-22.08,149.87,None
-35.69,130.64,None
-21.07,145.73,Queensland
-40.1,146.54,None
-33.63,142.1,New South Wales
-29.58,125.2,Western Australia
-15.33,136.03,Northern Territory
-39.75,138.74,None
-41.6,149.17,None
-19.73,115.52,None
-37.79,123.56,None
-34.97,118.07,Western Australia
-35.64,146.08,New South Wales
-16.95,153.08,None
-24.92,129.28,Northern Territory
-37.17,117.72,None
-23.64,140.91,Queensland
-41.45,115.12,None
-33.58,144.22,New South Wales
-9.04,141.91,None
-40.97,127.17,None
-15.57,117.88,None
-20.75,114.68,None
-38.21,125.31,None
-39.54,134.55,None
-27.47,148.94,Queensland
-30.08,139.11,South Australia
-29.49,147.13,New South Wales
-35.31,119.68,None
-32.48,143.9,New South Wales
-36.25,131.0,None
-33.34,150.43,New South Wales
-35.65,120.34,None
-17.17,124.35,Western Australia
-39.55,151.39,None
-17.45,122.42,Western Australia
-34.43,134.8,None
-24.1,123.64,Western Australia
-39.84,132.15,None
-33.19,120.52,Western Australia
-17.06,153.4,None
-20.07,120.95,Western Australia
-42.05,148.47,None
-18.21,122.32,Western Australia
-25.71,140.63,Queensland
-32.28,132.59,None
-33.7,131.74,None
-28.1,145.75,Queensland
-21.61,137.66,Northern Territory
-34.16,126.25,None
-39.88,152.08,None
-10.72,132.32,None
-25.25,142.04,Queensland
-36.83,146.54,Victoria
-14.45,121.9,None
-16.07,136.16,Northern Territory
-24.55,141.15,Queensland
-13.6,133.15,Northern Territory
-19.69,131.4,Northern Territory
-28.42,114.1,None
-20.77,136.0,Northern Territory
-12.38,126.87,None
-39.58,124.43,None
-26.67,127.28,Western Australia
-19.53,148.13,None
-35.2,133.17,None
-31.46,150.03,New South Wales
-10.36,123.06,None
-25.95,116.51,Western Australia
-16.11,122.74,None
-16.05,151.17,None
-34.56,123.43,None
-34.11,121.75,None
-39.28,130.5,None
-30.95,147.84,New South Wales
-24.46,152.6,None
-24.1,124.71,Western Australia
-41.38,128.86,None
-16.95,124.18,Western Australia
-33.0,149.11,New South Wales
-35.55,129.49,None
-13.72,126.23,None
-35.95,115.98,None
-27.38,135.5,South Australia
-37.27,142.79,Victoria
-12.84,119.93,None
-17.8,144.68,Queensland
-19.87,113.09,None
-23.76,144.5,Queensland
-17.16,136.38,Northern Territory
-9.01,140.63,None
-41.76,140.88,None
-36.33,113.06,None
-32.76,152.29,New South Wales
-36.68,133.4,None
-15.33,147.25,None
-11.47,150.87,None
-30.38,117.07,Western Australia
-21.02,138.38,Queensland
-41.19,129.23,None
-38.37,137.91,None
-28.95,146.78,Queensland
-15.89,150.21,None
-31.91,117.35,Western Australia
-25.32,149.98,Queensland
-21.16,126.41,Western Australia
-39.37,144.87,Victoria
-11.56,127.24,None
-26.5,126.26,Western Australia
-41.95,118.86,None
-26.72,134.21,South Australia
-38.6,115.52,None
-30.2,141.01,New South Wales
-21.16,121.33,Western Australia
-23.85,118.0,Western Australia
-33.11,136.69,None
-21.91,116.76,Western Australia
-34.91,124.76,None
-37.33,140.04,South Australia
-38.8,150.22,None
-14.5,140.34,None
-33.96,114.81,None
-38.88,136.47,None
-18.58,148.7,None
-32.32,153.45,None
-15.13,135.92,None
-32.59,151.07,New South Wales
-25.46,147.96,Queensland
-16.14,130.64,Northern Territory
-10.75,126.86,None
-17.71,148.55,None
-11.14,152.95,None
-39.8,148.22,None
-24.91,148.98,Queensland
-29.54,150.96,New South Wales
-25.61,141.75,Queensland
-26.57,144.41,Queensland
-16.38,128.79,Western Australia
-31.5,136.02,South Australia
-25.53,149.95,Queensland
-30.54,129.79,South Australia
-40.05,143.32,None
-38.19,114.3,None
-24.45,131.85,Northern Territory
-40.88,125.44,None
-22.09,124.88,Western Australia
-38.3,122.18,None
-20.17,131.91,Northern Territory
-16.65,120.89,None
-11.98,151.6,None
-39.34,150.52,None
-30.61,143.21,New South Wales
-42.9,151.33,None
-41.83,128.01,None
-37.41,148.08,Victoria
-37.39,125.9,None
-9.79,128.34,None
-10.34,142.96,None
-36.8,130.71,None
-25.6,122.08,Western Australia
-36.85,127.3,None
-25.36,150.82,Queensland
-18.86,141.1,Queensland
-11.89,139.35,None
-40.73,140.71,None
-29.02,137.19,South Australia
-15.98,129.74,Northern Territory
-36.01,116.1,None
-22.25,138.33,Queensland
-27.63,125.95,Western Australia
-12.67,138.17,None
-40.91,153.24,None
-22.54,151.88,None
-33.02,149.49,New South Wales
-16.47,133.66,Northern Territory
-37.24,123.35,None
-9.32,144.37,None
-19.55,130.09,Northern Territory
-22.26,150.77,None
-19.67,116.57,None
-20.06,136.08,Northern Territory
-41.44,133.57,None
-42.33,149.4,None
-14.47,119.0,None
-19.65,144.67,Queensland
-32.1,149.26,New South Wales
-40.13,116.64,None
-29.74,114.56,None
-32.53,131.12,None
-26.63,113.2,None
-37.59,133.75,None
-23.3,153.95,None
-30.12,132.76,South Australia
-28.13,123.69,Western Australia
-23.63,139.04,Queensland
-30.37,146.17,New South Wales
-12.39,124.01,None
-15.2,125.18,Western Australia
-13.28,114.63,None
-40.67,123.11,None
-42.93,133.86,None
-12.41,151.66,None
-12.52,119.46,None
-35.03,132.72,None
-16.58,143.37,Queensland
-20.77,124.16,Western Australia
-39.55,146.51,None
-19.1,113.87,None
-21.65,118.53,Western Australia
-25.41,120.54,Western Australia
-14.51,151.17,None
-28.7,136.27,South Australia
-29.33,135.78,South Australia
-36.47,114.37,None
-30.55,127.83,Western Australia
-16.07,152.14,None
-27.17,137.33,South Australia
-19.07,144.24,Queensland
-41.94,141.05,None
-19.28,117.44,None
-36.92,128.04,None
-18.64,131.05,Northern Territory
-23.77,117.81,Western Australia
-29.43,137.32,South Australia
-12.54,137.83,None
-30.1,133.13,South Australia
-32.26,134.8,South Australia
-33.5,150.98,New South Wales
-19.34,113.96,None
-16.12,141.1,None
-26.21,116.3,Western Australia
-32.38,149.58,New South Wales
-38.36,120.25,None
-13.64,114.96,None
-38.95,136.46,None
-31.5,116.0,Western Australia
-34.09,136.34,South Australia
-14.42,151.03,None
-41.61,143.26,None
-26.32,121.58,Western Australia
-9.46,115.51,None
-34.51,152.92,None
-38.62,139.4,None
-25.32,137.63,Northern Territory
-21.18,137.1,Northern Territory
-33.72,123.63,Western Australia
-22.17,148.24,Queensland
-15.65,131.48,Northern Territory
-42.1,124.21,None
-23.95,120.48,Western Australia
-10.33,133.45,None
-27.56,143.6,Queensland
-31.28,136.87,South Australia
-23.74,127.64,Western Australia
-12.27,138.08,None
-42.91,124.21,None
-33.22,130.88,None
-19.9,125.5,Western Australia
-40.98,126.2,None
-15.23,150.86,None
-38.13,152.45,None
-40.81,134.86,None
-41.55,120.76,None
-24.07,113.79,Western Australia
-14.52,114.42,None
-24.54,124.94,Western Australia
-38.0,153.34,None
-16.3,144.1,Queensland
-16.33,132.67,Northern Territory
-9.39,133.71,None
-32.6,136.13,South Australia
-28.03,134.66,South Australia
-32.14,142.62,New South Wales
-36.56,113.92,None
-27.66,131.41,South Australia
-9.9,120.9,None
-19.81,117.98,None
-9.44,125.98,None
-20.17,129.28,Northern Territory
-12.02,135.77,Northern Territory
-30.08,144.57,New South Wales
-21.04,128.15,Western Australia
-38.22,150.85,None
-32.39,127.53,None
-42.19,135.11,None
-29.58,125.41,Western Australia
-36.15,140.38,South Australia
-35.96,151.82,None
-42.48,128.86,None
-32.23,133.65,South Australia
-26.97,122.39,Western Australia
-9.98,126.31,None
-38.46,132.53,None
-11.46,115.6,None
-22.31,153.3,None
-22.78,146.46,Queensland
-24.46,137.58,Northern Territory
-10.6,152.13,None
-39.64,122.82,None
-39.48,115.39,None
-24.17,149.24,Queensland
-23.39,120.03,Western Australia
-37.56,144.2,Victoria
-22.73,145.84,Queensland
-23.26,114.22,Western Australia
-19.51,135.32,Northern Territory
-14.84,125.29,Western Australia
-33.39,151.69,None
-39.69,115.01,None
-34.1,126.11,None
-41.8,138.06,None
-12.97,147.44,None
-31.98,153.45,None
-13.2,141.17,None
-17.82,125.34,Western Australia
-39.16,146.98,None
-28.03,136.8,South Australia
-22.04,127.37,Western Australia
-35.48,120.06,None
-28.25,151.86,Queensland
-22.95,153.5,None
-31.62,120.74,Western Australia
-12.24,114.16,None
-34.86,136.81,None
-25.9,116.03,Western Australia
-23.38,125.7,Western Australia
-10.09,124.13,None
-35.99,148.59,New South Wales
-38.06,152.46,None
-13.91,124.39,None
-10.89,136.45,None
-9.8,129.01,None
-21.0,127.15,Western Australia
-27.53,132.29,South Australia
-30.57,130.38,South Australia
-25.91,115.27,Western Australia
-32.22,133.55,None
-31.87,139.92,South Australia
-31.69,117.57,Western Australia
-27.22,121.88,Western Australia
-40.49,150.53,None
-20.48,140.22,Queensland
-40.15,148.15,Tasmania
-27.11,136.84,South Australia
-42.25,116.2,None
-17.95,134.21,Northern Territory
-15.74,146.85,None
-40.22,121.8,None
-42.13,118.31,None
-35.3,147.12,New South Wales
-39.5,131.26,None
-23.49,147.95,Queensland
-21.13,142.0,Queensland
-14.93,129.63,Northern Territory
-15.3,115.3,None
-38.14,149.6,None
-25.31,151.88,Queensland
-17.0,137.06,Northern Territory
-29.74,127.07,Western Australia
-11.99,119.74,None
-42.98,116.71,None
-36.01,129.38,None
-18.06,139.47,Queensland
-28.49,144.99,Queensland
-21.27,146.53,Queensland
-39.66,124.66,None
-38.35,145.99,Victoria
-31.31,125.72,Western Australia
-20.76,141.0,Queensland
-29.48,123.27,Western Australia
-29.38,129.8,South Australia
-28.32,123.52,Western Australia
-35.85,146.71,New South Wales
-29.13,113.45,None
-32.25,130.5,None
-36.79,138.95,None
-27.98,153.69,None
-31.39,130.02,South Australia
-9.07,137.53,None
-42.36,150.42,None
-42.19,145.7,Tasmania
-41.49,149.01,None
-29.49,129.83,South Australia
-40.13,122.21,None
-39.43,124.43,None
-11.58,117.21,None
-23.83,153.32,None
-18.81,128.71,Western Australia
-36.66,128.25,None
-13.85,132.44,Northern Territory
-17.01,150.0,None
-18.13,139.32,Queensland
-31.13,132.34,South Australia
-32.22,145.88,New South Wales
-30.56,137.01,South Australia
-38.28,139.01,None
-22.4,134.68,Northern Territory
-33.91,116.69,Western Australia
-12.43,130.73,Northern Territory
-20.81,132.91,Northern Territory
-14.7,140.18,None
-20.83,138.17,Queensland
-31.8,125.4,Western Australia
-42.93,139.44,None
-18.29,117.53,None
-15.35,152.4,None
-37.47,129.47,None
-39.95,123.62,None
-20.88,118.77,Western Australia
-20.9,119.35,Western Australia
-13.17,139.33,None
-11.7,147.92,None
-39.17,128.24,None
-20.06,129.51,Northern Territory
-30.5,142.53,New South Wales
-11.71,147.56,None
-16.96,129.91,Northern Territory
-25.74,126.88,Western Australia
-9.09,135.57,None
-23.71,115.0,Western Australia
-35.96,131.49,None
-9.1,121.98,None
-25.97,144.59,Queensland
-37.25,140.38,South Australia
-40.71,140.46,None
-15.23,149.69,None
-11.26,145.54,None
-14.39,118.73,None
-21.76,141.26,Queensland
-42.15,139.85,None
-35.04,140.9,South Australia
-21.5,144.81,Queensland
-18.59,145.73,Queensland
-28.96,143.72,Queensland
-13.57,115.1,None
-12.09,126.82,None
-29.21,151.4,New South Wales
-40.31,130.71,None
-26.11,113.12,Western Australia
-35.49,132.24,None
-27.64,121.71,Western Australia
-35.54,115.38,None
-10.81,135.36,None
-10.61,131.79,None
-9.35,117.27,None
-11.9,146.16,None
-21.43,125.01,Western Australia
-24.49,141.76,Queensland
-19.57,114.86,None
-23.68,134.91,Northern Territory
-21.3,121.11,Western Australia
-17.26,150.08,None
-37.95,138.13,None
-24.23,145.54,Queensland
-34.4,142.84,New South Wales
-9.28,139.66,None
-23.15,142.56,Queensland
-34.28,144.98,New South Wales
-17.92,136.43,Northern Territory
-42.26,124.81,None
-29.95,145.58,New South Wales
-31.22,129.4,South Australia
-42.75,142.9,None
-30.11,144.19,New South Wales
-22.2,134.01,Northern Territory
-21.52,143.62,Queensland
-17.03,130.99,Northern Territory
-19.59,133.56,Northern Territory
-17.91,130.0,Northern Territory
-15.71,146.05,None
-31.45,122.51,Western Australia
-38.64,115.91,None
-15.37,127.17,Western Australia
-12.11,122.33,None
-32.02,116.19,Western Australia
-12.5,123.83,None
-34.38,132.72,None
-31.28,114.76,None
-10.77,135.79,None
-25.33,121.16,Western Australia
-23.68,150.98,Queensland
-27.89,115.09,Western Australia
-42.76,139.83,None
-38.27,120.76,None
-34.88,114.89,None
-36.58,140.3,South Australia
-20.72,117.83,Western Australia
-34.66,138.39,South Australia
-40.15,123.77,None
-28.92,120.04,Western Australia
-42.63,137.49,None
-23.05,117.97,Western Australia
-35.19,153.59,None
-31.89,132.94,South Australia
-21.81,122.64,Western Australia
-16.63,124.98,Western Australia
-11.53,142.73,Queensland
-32.13,116.9,Western Australia
-22.16,139.72,Queensland
-41.85,148.92,None
-21.16,142.19,Queensland
-31.45,145.3,New South Wales
-35.07,153.97,None
-9.0,124.05,None
-18.25,144.69,Queensland
-9.2,117.28,None
-22.2,129.25,Northern Territory
-36.57,132.28,None
-35.31,118.87,None
-27.27,128.8,Western Australia
-36.52,125.0,None
-33.21,130.36,None
-35.01,115.02,None
-37.99,136.21,None
-39.2,142.34,None
-11.87,136.88,None
-33.0,152.21,None
-15.63,147.96,None
-9.34,123.92,None
-17.99,142.32,Queensland
-31.58,130.27,South Australia
-32.76,132.96,None
-20.61,131.26,Northern Territory
-42.2,116.15,None
-25.41,137.21,Northern Territory
-29.68,125.14,Western Australia
-37.0,139.26,None
-18.06,135.36,Northern Territory
-40.5,119.28,None
-24.52,143.57,Queensland
-17.09,128.66,Western Australia
-30.11,144.98,New South Wales
-30.91,152.54,New South Wales
-19.05,134.55,Northern Territory
-14.24,142.13,Queensland
-13.93,141.72,Queensland
-26.4,135.57,South Australia
-19.26,123.87,Western Australia
-15.51,132.38,Northern Territory
-14.56,114.42,None
-11.13,141.79,None
-29.54,146.45,New South Wales
-10.19,140.74,None
-14.67,140.08,None
-39.55,137.91,None
-33.28,150.57,New South Wales
-18.16,119.84,None
-9.84,129.61,None
-38.48,124.06,None
-11.48,118.83,None
-31.35,144.32,New South Wales
-12.03,134.6,None
-22.26,132.74,Northern Territory
-22.21,114.81,Western Australia
-19.74,113.63,None
-39.46,140.54,None
-27.76,139.94,South Australia
-23.77,135.2,Northern Territory
-26.38,134.05,South Australia
-31.49,147.07,New South Wales
-20.04,115.52,None
-27.54,141.65,Queensland
-22.78,132.04,Northern Territory
-37.52,119.75,None
-25.17,141.28,Queensland
-25.1,122.54,Western Australia
-25.45,131.0,Northern Territory
-17.42,148.28,None
-20.89,140.47,Queensland
-37.59,143.17,Victoria
-27.01,153.14,Queensland
-30.32,127.0,Western Australia
-19.19,128.29,Western Australia
-27.08,142.41,Queensland
-10.32,125.81,None
-28.1,144.92,Queensland
-26.91,143.06,Queensland
-30.2,129.37,South Australia
-11.05,144.1,None
-11.06,135.96,None
-39.12,142.05,None
-11.78,117.74,None
-22.03,145.95,Queensland
-18.98,142.83,Queensland
-21.92,147.4,Queensland
-20.04,139.38,Queensland
-34.28,138.48,South Australia
-15.02,152.55,None
-31.48,122.67,Western Australia
-27.8,145.2,Queensland
-14.03,148.67,None
-13.0,150.34,None
-12.43,114.91,None
-42.75,120.08,None
-29.94,122.8,Western Australia
-40.23,125.12,None
-12.56,126.38,None
-12.0,124.32,None
-23.19,146.36,Queensland
-26.71,132.18,South Australia
-27.84,141.62,Queensland
-10.24,127.91,None
-40.58,129.25,None
-10.65,153.31,None
-41.45,151.63,None
-21.64,114.77,None
-9.52,136.93,None
-40.98,126.99,None
-12.44,145.89,None
-12.37,140.14,None
-42.72,143.3,None
-11.94,134.46,None
-32.83,133.69,None
-39.7,133.38,None
-38.85,140.81,None
-11.56,116.31,None
-10.22,114.3,None
-21.79,137.76,Northern Territory
-25.68,133.97,Northern Territory
-38.98,121.5,None
-33.74,125.66,None
-39.43,116.15,None
-21.73,123.02,Western Australia
-29.02,131.56,South Australia
-42.56,146.83,Tasmania
-31.65,134.77,South Australia
-27.73,138.74,South Australia
-23.5,116.76,Western Australia
-21.27,138.17,Queensland
-27.84,129.04,South Australia
-18.02,124.4,Western Australia
-17.54,125.67,Western Australia
-17.42,141.43,Queensland
-32.87,153.75,None
-36.44,151.91,None
-33.05,142.66,New South Wales
-14.51,120.44,None
-30.17,118.24,Western Australia
-31.06,115.47,Western Australia
-16.13,128.08,Western Australia
-15.53,120.03,None
-25.48,148.87,Queensland
-42.81,131.18,None
-29.18,142.88,New South Wales
-27.59,149.26,Queensland
-19.42,138.16,Queensland
-19.6,121.01,Western Australia
-31.82,138.49,South Australia
-41.7,141.96,None
-20.26,149.55,None
-37.71,117.21,None
-13.2,127.62,None
-23.85,153.59,None
-24.36,136.62,Northern Territory
-18.37,132.9,Northern Territory
-30.32,143.25,New South Wales
-39.83,130.91,None
-30.16,152.81,New South Wales
-10.55,116.17,None
-23.21,151.37,None
-14.92,130.1,Northern Territory
-15.61,128.53,Western Australia
-39.52,146.62,None
-37.22,124.63,None
-16.3,138.64,None
-19.37,129.32,Northern Territory
-37.43,143.85,Victoria
-23.14,121.93,Western Australia
-38.72,124.07,None
-35.68,143.84,Victoria
-39.27,129.6,None
-30.73,121.28,Western Australia
-33.93,146.06,New South Wales
-16.15,127.51,Western Australia
-27.92,143.47,Queensland
-15.48,127.31,Western Australia
-38.33,136.86,None
-39.72,153.53,None
-15.94,123.11,None
-29.3,151.31,New South Wales
-28.49,146.33,Queensland
-35.39,126.72,None
-25.55,116.45,Western Australia
-39.25,142.23,None
-31.33,144.1,New South Wales
-33.47,113.34,None
-25.11,140.3,Queensland
-28.16,116.39,Western Australia
-20.05,144.29,Queensland
-23.0,136.7,Northern Territory
-22.42,131.71,Northern Territory
-34.47,120.89,None
-12.15,152.92,None
-22.96,118.37,Western Australia
-27.07,141.1,Queensland
-19.79,124.41,Western Australia
-40.86,131.91,None
-18.68,119.44,None
-42.98,153.55,None
-11.11,125.35,None
-23.11,128.03,Western Australia
-15.75,123.35,None
-18.88,150.58,None
-33.97,132.4,None
-15.85,116.92,None
-30.9,151.35,New South Wales
-18.33,135.84,Northern Territory
-29.22,141.47,New South Wales
-37.19,119.0,None
-14.9,130.6,Northern Territory
-11.58,148.98,None
-39.14,141.81,None
-13.89,144.85,None
-29.32,145.19,New South Wales
-21.2,145.22,Queensland
-25.77,127.51,Western Australia
-14.35,120.06,None
-21.86,140.6,Queensland
-16.47,153.0,None
-12.01,132.03,None
-27.79,121.37,Western Australia
-11.47,135.92,None
-9.94,148.26,None
-28.6,114.28,None
-22.04,145.67,Queensland
-12.31,117.87,None
-16.15,150.36,None
-18.36,125.39,Western Australia
-16.17,134.66,Northern Territory
-19.83,135.36,Northern Territory
-18.17,120.86,None
-41.12,136.37,None
-12.01,124.96,None
-15.23,139.35,None
-21.92,145.96,Queensland
-27.25,151.48,Queensland
-14.74,152.05,None
-24.88,136.88,Northern Territory
-19.28,134.91,Northern Territory
-35.21,124.78,None
-29.24,137.61,South Australia
-38.39,143.7,Victoria
-21.51,127.89,Western Australia
-35.69,142.94,Victoria
-41.77,121.27,None
-38.07,138.39,None
-13.17,145.04,None
-24.65,115.65,Western Australia
-37.39,129.01,None
-15.11,145.53,None
-40.31,153.42,None
-40.58,147.77,None
-38.59,123.92,None
-24.19,139.6,Queensland
-32.54,125.02,Western Australia
-37.14,142.87,Victoria
-35.36,131.73,None
-25.3,137.93,Northern Territory
-35.06,135.3,None
-24.43,142.47,Queensland
-40.09,119.21,None
-17.67,150.36,None
-17.94,142.88,Queensland
-36.18,118.0,None
-31.52,116.09,Western Australia
-18.66,132.24,Northern Territory
-23.77,138.94,Queensland
-13.23,131.0,Northern Territory
-19.44,117.69,None
-14.96,143.84,Queensland
-36.11,114.37,None
-11.2,119.53,None
-33.78,122.18,Western Australia
-38.7,119.2,None
-23.71,147.28,Queensland
-18.49,134.82,Northern Territory
-10.3,153.67,None
-16.43,144.32,Queensland
-15.65,142.4,Queensland
-12.51,131.87,Northern Territory
